,SMILES,lambda_max_exp_nm,solvent,reference,description,mol_wt,abs_max_ev
29,O=C1c2cccc3c(-n4c5ccccc5c5ccccc54)ccc(c23)C(=O)N1C1CCCCC1,399,hexane,https://doi.org/10.1016/j.dyepig.2008.04.005,DBtag:11125,444.183778,3.107
30,CC1(C)c2ccccc2N(c2ccc(-c3n[n+]4c(o3)-c3ccccc3O[B-]4(F)F)cc2)c2ccccc21,364,toluene,DOI: 10.1021/acsami.9b07511,DBtag:6352,493.1773138,3.406
31,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)c1,413,acetonitrile,10.1021/jo070100o,DBtag:9426,411.9542554,3.002
32,O=[N+]([O-])c1ccccc1,258,ethanol,photochemCAD,nitrobenzene,123.0320284,4.806
33,CCN(CC)c1cc(NC(C)=O)c(/N=N/c2ccc3c(=O)[nH][nH]c(=O)c3c2[N+](=O)[O-])cc1OC,544,dimethylformamide,https://doi.org/10.1016/j.dyepig.2014.12.019,DBtag:11737,469.1709815,2.279
34,Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)c(C)c4)cc3)nc2c1,333,dimethylformamide,https://doi.org/10.1016/j.dyepig.2010.07.006,DBtag:11897,504.2313969,3.723
35,COc1ccc2ccccc2c1C1=CC(c2ccccc2)=C(c2ccccc2)C1,340,dichloromethane,https://doi.org/10.1016/j.dyepig.2017.08.035,DBtag:11098,374.1670653,3.647
36,CN(C)CCN(Cc1c2ccccc2cc2ccccc12)c1ccc([N+](=O)[O-])cc1,390,cyclohexane,10.1021/jp047557b,DBtag:2539,399.194677,3.179
37,Cc1ccccc1C,263,cyclohexane,photochemCAD,o-xylene,106.0782503,4.714
38,c1ccc2c(-n3c4ccccc4c4ccccc43)cccc2c1,321,cyclohexane,https://doi.org/10.1016/j.cplett.2005.12.092,DBtag:11176,293.1204495,3.862
39,Cc1ccc(-c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C)cc3)cc2/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,410,dichloromethane,https://doi.org/10.1016/j.molstruc.2013.07.031,DBtag:12563,796.3817495,3.024
40,Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc([N+](=O)[O-])cc1,402,tetrahydrofuran,https://doi.org/10.1016/j.jlumin.2018.02.007,DBtag:10970,298.1317424,3.084
41,CCCCNC(=O)c1nc2c(N(C)C)nc(N(C)C)nc2n1Cc1ccccc1,338,dichloromethane,10.1021/ja806348z,DBtag:7706,395.2433585,3.668
42,N#Cc1cnc(-c2c3ccccc3c(-c3ncc(C#N)cn3)c3ccccc23)nc1,394,dichloromethane,https://doi.org/10.1016/j.dyepig.2018.07.027,DBtag:9680,384.1123444,3.147
43,Cc1ccc(-c2nc(/C=C/c3ccc(Cl)cc3)c(/C=C/c3ccc(Cl)cc3)[nH]2)cc1,385,dichloromethane,https://doi.org/10.1016/j.saa.2019.03.043,DBtag:1204,430.100354,3.22
44,CCCCCCC1(CCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc21,327,dichloromethane,DOI: 10.1039/c6cp04252j,DBtag:1190,641.3769985,3.792
45,COc1cc(OC)cc(C2=CC(c3ccccc3)=C(c3ccccc3)C2)c1,355,dichloromethane,https://doi.org/10.1016/j.dyepig.2017.08.035,DBtag:11096,354.1619799,3.493
46,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc([N+](=O)[O-])cc2)cc1,431,dichloromethane,DOI: 10.1021/jp9053988,DBtag:8574,406.2620283,2.877
47,C=Cc1ccccc1,248,cyclohexane,photochemCAD,styrene,104.0626003,4.999
48,Cn1c(=O)nc2n(C)c3ccccc3nc-2c1=O,437,acetonitrile,10.1023/B%3AJOFL.0000014660.59105.31,DBtag:3661,242.0803756,2.837
49,CCn1c(-c2ccc(-c3cccc4ccccc34)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2cccc3ccccc23)cc1,292,ethyl ethanoate,DOI: 10.1021/jo100158a,DBtag:12365,751.3239003,4.246
50,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,347,toluene,http://dx.doi.org/10.1021/jp3099297,DBtag:2412,421.2041791,3.573
51,CN1c2ccccc2CCc2ccccc21,278,methanol,10.1021/jp0710739,DBtag:2625,209.1204495,4.46
52,c1ccc2nc3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3cc2c1,359,hexane,DOI: 10.1021/acs.jpcc.8b07083,DBtag:6876,420.1626486,3.454
53,CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,357,chloroform,https://doi.org/10.1016/j.jphotochem.2014.07.005,DBtag:9344,362.0952686,3.473
54,COC(=O)c1cc(=O)n(C)c2cc(-c3ccc(N(C)C)cc3)sc12,434,dichloromethane,DOI: 10.1021/acs.joc.8b01924,DBtag:7600,342.1038134,2.857
55,CN(C)c1ccc(-c2cc3c(s2)c(C(=O)c2ccccc2)cc(=O)n3Cc2ccccc2)cc1,446,dichloromethane,DOI: 10.1021/acs.joc.8b01924,DBtag:7605,464.155849,2.78
56,C(=C/c1cccc2ccccc12)\c1ccc(-c2nnc(-c3ccc(-c4cc5ccccc5s4)cc3)o2)cc1,360,dimethylsulfoxide,https://doi.org/10.1016/j.molliq.2018.09.094,DBtag:4188,506.1452843,3.444
57,COc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,688,chloroform,DOI: 10.1039/c4cs00030g,DBtag:3282,557.2086139,1.802
58,CN(C)c1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,477,chloroform,http://dx.doi.org/10.1016/j.dyepig.2013.08.002,DBtag:4270,338.1402,2.599
59,COc1ccc(-c2csc(/C(C#N)=C/c3c(Cl)cccc3Cl)n2)cc1,360,acetonitrile,https://doi.org/10.1016/j.dyepig.2019.02.051,DBtag:1504,386.0047394,3.444
60,c1ccc(-n2c(-c3cccc4ccccc34)nc3c4ccccc4c4ccccc4c32)cc1,356,toluene,DOI: 10.1021/acsami.6b10004,DBtag:6787,420.1626486,3.483
61,Fc1ccc(C#Cc2cc(C#Cc3ccc(F)cc3)c(C#Cc3ccc(F)cc3)c(C#Cc3ccc(F)cc3)c2C#Cc2ccc(F)cc2)cc1,371,dichloromethane,DOI: 10.1021/ol2000183,DBtag:12239,668.1563418,3.342
62,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,411,ethanol,doi:10.1016/j.jlumin.2011.05.048,DBtag:1907,270.1044651,3.017
63,CCCC1=Cc2nc1ccc1[nH]c(cc1CCC)c1nc(c(O)cc3[nH]c2cc3CCC)C(CCC)=C1,677,toluene,https://doi.org/10.1016/S1011-1344(97)00075-4,DBtag:5667,494.3045618,1.831
64,O=C(O)CCCCCNC(=O)c1cccc2c(=O)c3ccccc3[nH]c12,409,water,10.1023/B%3AJOFL.0000016287.56322.eb,DBtag:3671,352.1423071,3.031
65,O=[N+]([O-])c1ccc(F)cc1C1CC(c2cccc3ccccc23)=NN1c1ccccc1,374,tetrahydrofuran,http://dx.doi.org/10.1016/j.saa.2014.09.080,DBtag:4861,411.138305,3.315
66,CN(C)c1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,466,carbon tetrachloride,http://dx.doi.org/10.1016/j.saa.2012.04.077,DBtag:4281,292.1211778,2.661
67,O=C1CC(=O)Nc2cc([N+](=O)[O-])ccc2N1,312,dimethylsulfoxide,http://dx.doi.org/10.1016/j.saa.2016.11.028,DBtag:4144,221.0436557,3.974
68,COc1ccc2c(-c3nc(-c4cccc(C)c4)no3)cc(=O)oc2c1,403,chloroform,http://dx.doi.org/10.1016/j.dyepig.2017.01.050,DBtag:862,334.0953569,3.077
69,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,424,dichloromethane,DOI: 10.1021/acs.joc.8b01653,DBtag:2243,750.335862,2.924
70,COc1ccc2c(c1)cc(C)c1c3ccccc3[nH]c21,305,dichloromethane,10.1021/ja803954e,DBtag:10001,261.1153641,4.065
71,C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,403,n-heptane,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,DBtag:423,302.1782987,3.077
72,Cn1c2ccccc2c(=O)c2ccccc21,403,dimethylsulfoxide,https://doi.org/10.1016/j.dyepig.2019.03.028,DBtag:8604,209.084064,3.077
73,Cc1cn2cc(-c3ccc(C#N)cc3)[n-][n+]2c1,385,dichloromethane,10.1021/ol302668y,DBtag:2037,222.0905463,3.22
74,F[B-]1(F)Oc2ccccc2-c2c3c(c4c([n+]21)CCc1ccccc1-4)CCc1ccccc1-3,347,dichloromethane,https://doi.org/10.1016/j.dyepig.2016.10.021,DBtag:12538,423.1606011,3.573
75,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,340,ethanol,https://doi.org/10.1016/j.saa.2009.06.027,DBtag:11740,270.0528234,3.647
76,COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(Cl)cc1,334,chloroform,set-ref-7,2e,372.0512992,3.712
77,N#CC(C#N)=C(c1ccc(-n2ccc3ccccc32)cc1)c1ccc(-n2ccc3ccccc32)cc1,400,toluene,DOI: 10.1021/acs.jpcc.6b10854,DBtag:6347,460.1687966,3.1
78,S=c1[nH]nc(-c2ccc(/C=C/c3ccc(-c4n[nH]c(=S)o4)cc3)cc2)o1,334,dimethylformamide,doi: 10.1111/cote.12258,DBtag:3514,380.0401676,3.712
79,COc1ccc2c(=O)c3c([nH]c2c1)-c1cc(Cl)ccc1NC3(C)C,425,dimethylformamide,DOI: 10.1021/acs.orglett.5b02680,DBtag:7393,340.0978555,2.917
80,Cc1ccc(C)cc1,275,cyclohexane,photochemCAD,p-xylene,106.0782503,4.509
81,CCN(CC)c1ccc(/C=N/C(C#N)=C(C#N)\N=C\c2ccc(N(CC)CC)cc2O)c(O)c1,564,acetonitrile,http://dx.doi.org/10.1021/jp403750q,DBtag:7532,458.2430242,2.198
82,O=S(=O)([O-])c1cc(S(=O)(=O)Cl)ccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,589,water,http://www.iss.com/resources/reference/data_tables/LifetimeDataFluorophores.html,DBtag:212,624.1155563,2.105
83,CCCCCCC(CCCCCC)n1c(=O)c2c3ccc4cccc5c6cccc7ccc(c2c1=O)c(c76)c3c45,335,diethyl ether,http://dx.doi.org/10.1021/jo200529p,DBtag:2722,527.2824294,3.701
84,CCOC(=O)c1c2c3c(ccc(Cl)c3c3cc4ccccc4cc13)N(C)C2=O,408,acetonitrile,https://doi.org/10.1016/j.tet.2019.130638,DBtag:13172,389.0818711,3.039
85,c1ccc(C2(c3ccccc3)c3ccc4ccc5ccccc5c4c3-c3c2ccc2ccc4ccccc4c32)cc1,408,dichloromethane,DOI: 10.1021/acs.orglett.6b01708,DBtag:2228,518.2034508,3.039
86,O=c1oc2c(ccc3ccccc32)nc1-c1ccccc1,398,hexane,10.1021/jo800039r,DBtag:2450,273.0789786,3.115
87,COc1ccc(/C=C(\C)c2nc3ccccc3o2)cc1,320,cyclohexane,https://doi.org/10.1016/S1010-6030(00)00230-6,DBtag:13028,265.1102787,3.875
88,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,392,dimethylsulfoxide,https://doi.org/10.1016/j.dyepig.2018.10.016,DBtag:672,383.2824294,3.163
89,COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,616,dichloromethane,DOI: 10.1039/c4cs00030g,DBtag:3269,400.1558501,2.013
90,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,407.5,acetonitrile,photochemCAD,Coumarin 30,347.1633769,3.043
91,CCCC1(CCC)c2cc(-c3ccc(C(C)(C)C)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc(C(C)(C)C)cc5)ccc3-4)cc21,346,cyclohexane,10.1007/BF00723901,DBtag:3609,762.5164521,3.583
92,CCOC(=O)c1c2c3c(cccc3c3cc4ccccc4cc13)N(C)C2=O,398,acetonitrile,https://doi.org/10.1016/j.tet.2019.130638,DBtag:13170,355.1208434,3.115
93,Cn1cc(-c2nc3ccccc3nc2C#Cc2ccc(C#N)cc2)c2ccccc21,418,dichloromethane,http://dx.doi.org/10.1021/jo4025978,DBtag:8131,384.1374965,2.966
94,Clc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3s2)cc1,340,cyclohexane,https://doi.org/10.1016/S1010-6030(00)00230-6,DBtag:13017,347.0535481,3.647
95,Oc1ccccc1C1=NC2c3cccc4cccc(c34)C2N1c1ccccc1,430,toluene,DOI:10.1039/c2jm33891b,DBtag:3361,362.1419132,2.883
96,Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,556,methanol,10.1021/jp073547+,DBtag:5985,416.106313,2.23
97,O=C1c2ccccc2-c2cnccc21,394.1618587,hexane,https://doi.org/10.1016/S1010-6030(01)00597-4,DBtag:11870,181.0527638,3.146
98,O=Cc1ccc(-c2ccc(C3=CCC(c4ccccc4)CC3)s2)s1,385,tetrahydrofuran,http://dx.doi.org/10.1016/j.dyepig.2014.09.013,DBtag:1766,350.0799072,3.22
99,COC(=O)/C(C#N)=c1\s/c(=c2/s/c(=C(/C#N)C(=O)OC)c3cc(-c4ccc(F)cc4)sc23)c2sc(-c3ccc(F)cc3)cc12,602,toluene,DOI: 10.1021/jacs.5b03899,DBtag:2144,657.9960974,2.06
100,CC1=[N+]2C(=C(c3ccccc3C)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,595,cyclohexane,DOI: 10.1021/acs.joc.8b01429,DBtag:7457,618.2749207,2.084
101,Cc1ccc(-c2c3nc(c(-c4ccco4)c4ccc([nH]4)c(-c4ccco4)c4nc(c(-c5ccco5)c5ccc2s5)C=C4)C=C3)cc1,442,dichloromethane,https://doi.org/10.1016/j.cplett.2007.10.005,DBtag:10046,615.1616627,2.805
102,O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,353,dichloromethane,DOI:10.1002/chem.201803428,DBtag:3518,271.0728487,3.512
103,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1-c1nnc(-c2ccccc2)o1,344,toluene,DOI: 10.1021/acs.chemmater.8b02632,DBtag:6602,459.0994749,3.604
104,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,376,dichloromethane,DOI: 10.1021/acs.joc.8b01653,DBtag:2247,613.2729274,3.297
105,CCNc1ccc2c(C(F)(F)F)cc(=O)oc2c1,360,hexane,DOI: 10.1021/jp021141l,DBtag:12212,257.0663632,3.444
106,c1ccc2c(B(c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,394.4257,tetrahydrofuran,https://doi.org/10.1016/j.jphotochem.2009.01.003,DBtag:9841,542.2205813,3.143
107,Oc1cc2c(cc1-c1nc3c4ccccc4c4ccccc4c3[nH]1)c1ccccc1n2-c1ccccc1,382,hexane,https://doi.org/10.1016/j.dyepig.2018.06.020,DBtag:12624,475.1684623,3.246
108,CCNc1ccc(NCC)c2c1C(=O)c1ccccc1C2=O,644,dimethylsulfoxide,https://doi.org/10.1016/j.saa.2011.02.003,DBtag:13539,294.1368278,1.925
109,CCCCCCCCCCCCOc1nc2cc(/N=C/c3ccc(OCCCCCCCC)cc3O)ccc2[nH]1,360,chloroform,https://doi.org/10.1016/j.molliq.2017.10.051,DBtag:12760,549.3930425,3.444
110,Cn1c(=O)cc(C(=O)c2ccccc2)c2sc(-c3ccc(OC(F)(F)F)cc3)cc21,400,dichloromethane,DOI: 10.1021/acs.joc.8b01924,DBtag:7610,429.064649,3.1
111,O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,278,hexane,https://doi.org/10.1016/j.molliq.2016.09.115,DBtag:9863,304.0960256,4.46
112,COc1ccc(-n2nc(C#N)c(N3CCCC3)n2)cc1OC,344,acetonitrile,http://dx.doi.org/10.1016/j.dyepig.2016.08.015,DBtag:1583,299.1382248,3.604
113,O=C(O)CCCCCn1c2ccccc2c(=O)c2cc(S(=O)(=O)O)ccc21,409,water,10.1023/B%3AJOFL.0000016287.56322.eb,DBtag:3667,389.0933083,3.031
114,c1ccc(-c2ccccn2)nc1,281,acetonitrile,photochemCAD,"2,2'-bipyridine",156.0687483,4.412
115,Nc1ccc2c(c1)C(=O)NC2=O,357,acetone,DOI: 10.1021/jp9526509,DBtag:7892,162.0429274,3.473
116,c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)s3)[nH]c2-c2ccccc2)cc1,385,acetonitrile,doi:10.1016/j.snb.2006.10.066,DBtag:4688,520.1721678,3.22
117,Cc1cc(C)c(C2=C3C=CC(c4csc5ccccc45)=[N+]3[B-](F)(F)n3c2ccc3-c2csc3ccccc23)c(C)c1,581,chloroform,DOI: 10.1039/c4cs00030g,DBtag:3152,574.1520276,2.134
118,COc1ccc(-c2nc(-c3cccc(OC)c3)[nH]c2-c2ccc(OC)cc2)cc1,300,methanol,doi:10.1016/j.snb.2006.10.066,DBtag:4675,386.1630426,4.133
119,Cc1ccccc1N(c1ccc(C(C)(C)C)cc1)c1ccc2ccc3c(N(c4ccc(C(C)(C)C)cc4)c4ccccc4C)ccc4ccc1c2c43,432,toluene,DOI: 10.1021/acsami.8b09013,DBtag:7105,676.3817495,2.87
120,CCCCCCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3c2ccc2cc(-c4ccccc4)c(OC)cc23)C1=O,432,dichloromethane,http://dx.doi.org/10.1016/j.jphotochem.2017.07.026,DBtag:4501,727.366159,2.87
121,CN(C)c1ccc(C2=Nc3scc(-c4ccc(C#N)cc4)[n+]3[B-](F)(F)O2)cc1,415,dichloromethane,DOI: 10.1021/acs.joc.7b02239,DBtag:7930,396.1027689,2.988
122,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(N4CCCCC4)n3)ccc21,393,tetrahydrofuran,DOI: 10.1021/acs.joc.5b01409,DBtag:12290,597.2892461,3.155
123,CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,447,toluene,http://dx.doi.org/10.1016/j.jphotochem.2016.05.009,DBtag:9190,327.1470582,2.774
124,CCCC1(CCC)c2cc(-c3ccco3)ccc2-c2ccc(-c3ccco3)cc21,364,cyclohexane,10.1007/BF00723901,DBtag:3619,382.1932801,3.406
125,CCOC(=O)c1c2c3c(ccc([N+](=O)[O-])c3c3cc4ccccc4cc13)N(C)C2=O,394,acetonitrile,https://doi.org/10.1016/j.tet.2019.130638,DBtag:13174,400.1059216,3.147
126,CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(/C=C/c4cccs4)ccc2-3)C(CC)(CC)c2cc(/C=C/c3cccs3)ccc2-1,382,tetrahydrofuran,https://doi.org/10.1016/j.saa.2011.04.029,DBtag:11711,726.3353936,3.246
127,COCCOCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOCCOC)C3=O,604,methanol,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,DBtag:485,764.3480023,2.053
128,c1ccc2c(c1)[nH]c1ccccc12,331,hexane,doi:10.1016/j.saa.2011.09.018,DBtag:4733,167.0734993,3.746
129,CCCCN1C(=O)c2cccc3cccc(c23)C1=O,341,acetonitrile,https://doi.org/10.1021/jacs.9b09220,DBtag:12748,253.1102787,3.636
130,CCCC1=Cc2nc1ccc1[nH]c(cc1CCC)c1nc(c(OC(C)=O)cc3[nH]c2cc3CCC)C(CCC)=C1,645,toluene,https://doi.org/10.1016/S1011-1344(97)00075-4,DBtag:5670,536.3151265,1.922
131,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,373.25,ethanol,photochemCAD,Coumarin 1,231.1259288,3.322
132,COc1ccc(OC)cc1,286.2049227,cyclohexane,https://doi.org/10.1016/S1386-1425(02)00207-X,DBtag:4472,138.0680796,4.332
133,CCOC(=O)/N=c1/oc2ccc(OC)cc2cc1C#N,388,dichloromethane,doi:10.1016/j.dyepig.2006.01.001,DBtag:904,272.0797069,3.195
134,CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,345,dichloromethane,http://dx.doi.org/10.1021/jo202625p,DBtag:8145,359.0802415,3.594
135,C=CC1CN2CCC1CC2[C@@H](OCc1ccccc1)c1ccnc2ccc(O)cc12,335,acetonitrile,10.1021/jp901867h,DBtag:7270,400.2150781,3.701
136,COc1cc(OC)c2c(c1)C(=O)c1ccccc1-2,455,acetonitrile,DOI: 10.1039/c4cp01724b,DBtag:2975,240.0786442,2.725
137,COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1,375,hexane,doi:10.1016/j.jlumin.2010.02.036,DBtag:5546,231.1259288,3.306
138,Cc1cccc(-c2c3ccccc3cc3ccccc23)n1,385,dichloromethane,DOI: 10.1021/jacs.7b11062,DBtag:7016,269.1204495,3.22
139,CCCCC(CC)COc1ccc2nc(-c3ccc(-c4cccs4)s3)sc2c1,382,dichloromethane,http://dx.doi.org/10.1016/j.tetlet.2013.10.071,DBtag:5445,427.1098274,3.246
